"calendarDate","Pregnancy","NonUser","ModernMethod","Traditional","meanModern_W","meanAge_W","meanEverMarried_W","meanHadChild_W","yearSurv","surv"
1261,1194,5664,203,24,0.0335432744053782,28.8410899448689,0.855710838182367,0.820397853785847,2011,"SNIR61FL"
1262,1057,5788,221,33,0.0367759265840205,28.8337661192366,0.857258534402935,0.819784298720637,2011,"SNIR61FL"
1263,1066,5788,255,34,0.0405588475828285,28.774313515655,0.856154024270273,0.818784408886715,2011,"SNIR61FL"
1264,1072,5811,273,34,0.0435374380904616,28.7116470917888,0.855864259058268,0.81813219944902,2011,"SNIR61FL"
1265,1215,5725,264,37,0.0429943331613007,28.6653616944668,0.857626274533128,0.815980814714141,2011,"SNIR61FL"
1266,1227,5751,263,40,0.043049739591745,28.6201961269352,0.857740244331884,0.813108569953209,2011,"SNIR61FL"
1267,1265,5746,263,40,0.0424132615485183,28.569358263464,0.856749814781205,0.811100183592262,2011,"SNIR61FL"
1268,1316,5734,265,42,0.0425557292491973,28.5260187375529,0.857020629539241,0.809462645487102,2011,"SNIR61FL"
1269,1299,5796,267,42,0.0417369981857077,28.5200758364699,0.856212357095082,0.808322064708533,2011,"SNIR61FL"
1270,1286,5845,266,44,0.0415516280791432,28.4975320703779,0.857047097424154,0.808867293982248,2011,"SNIR61FL"
1271,1263,5901,276,45,0.043008613023565,28.504396341647,0.859147075196623,0.811400555186114,2011,"SNIR61FL"
1272,1269,5932,273,46,0.042943208314016,28.5179593384236,0.862734761417503,0.811733062612926,2011,"SNIR61FL"
1273,1311,5909,284,49,0.0458650323881249,28.5186990274772,0.863716052110315,0.814046126729256,2011,"SNIR61FL"
1274,1203,6025,300,47,0.04546489213611,28.5287640251138,0.862720919226226,0.812439290184619,2011,"SNIR61FL"
1275,1209,6048,308,47,0.0475701878569436,28.5104184739558,0.862771067147206,0.811262176551983,2011,"SNIR61FL"
1276,1196,6072,319,45,0.0493685595540344,28.5273808801989,0.864508574148677,0.811145311743811,2011,"SNIR61FL"
1277,1307,5975,320,45,0.0524978780279222,28.5585585706335,0.865488399259211,0.810979772806501,2011,"SNIR61FL"
1278,1344,5953,331,45,0.0535286847500552,28.5734245602332,0.866211191031931,0.810043117566394,2011,"SNIR61FL"
1279,1385,5925,331,44,0.0529875965707439,28.6057889913714,0.867546054244153,0.810563346211905,2011,"SNIR61FL"
1280,1416,5918,332,45,0.0516793275516817,28.6094907286614,0.867869880380582,0.810224618518828,2011,"SNIR61FL"
1281,1399,5957,339,44,0.0522367747341282,28.617713599779,0.867633396550193,0.811664767060804,2011,"SNIR61FL"
1282,1331,6039,346,45,0.053428715126274,28.6562576813521,0.869002884853574,0.815027699008869,2011,"SNIR61FL"
1283,1308,6077,348,45,0.0534791177570609,28.6741074195218,0.869390614924242,0.815853409176598,2011,"SNIR61FL"
1284,1336,6065,352,44,0.0539855812190506,28.6974385014494,0.871517333087629,0.815251799705279,2011,"SNIR61FL"
1285,622,3028,176,23,0.0622569847057376,28.4901637980609,0.872684026754443,0.817019911350686,2013,"SNIR6DFL"
1285,1396,5992,376,42,0.0573485360473173,28.7112169648697,0.871236123440281,0.816592989895704,2011,"SNIR61FL"
1286,686,2977,181,23,0.0615233571506003,28.509041956716,0.874406282473098,0.815859606670216,2013,"SNIR6DFL"
1286,1326,6072,387,44,0.0594874802571068,28.7245889542397,0.87307097419459,0.818993745798719,2011,"SNIR61FL"
1287,720,2954,183,22,0.0622290921820148,28.4854159855561,0.873502749683793,0.814015067998653,2013,"SNIR6DFL"
1287,1348,6072,388,45,0.0597299576102649,28.7402045955477,0.875467744077836,0.820327444950628,2011,"SNIR61FL"
1288,728,2945,193,26,0.06494582201013,28.4767696317591,0.872598239400057,0.811269448862091,2013,"SNIR6DFL"
1288,1365,6079,393,46,0.0606703405114725,28.7535003640947,0.876307703752938,0.819999929195322,2011,"SNIR61FL"
1289,750,2921,201,26,0.067503050950819,28.402352101765,0.868525561402564,0.809109352870139,2013,"SNIR6DFL"
1289,1454,5994,401,47,0.0609581085453466,28.7761826612091,0.876934650002068,0.821523952569096,2011,"SNIR61FL"
1290,761,2934,194,26,0.0651971737232133,28.3815313412768,0.871436531244601,0.809983074846864,2013,"SNIR6DFL"
1290,1494,5964,407,47,0.0618711604467921,28.7970776839834,0.877538092060878,0.820855218711332,2011,"SNIR61FL"
1291,776,2926,201,28,0.0665869271387437,28.3441809190489,0.872592864809323,0.809117418721865,2013,"SNIR6DFL"
1291,1543,5937,404,48,0.0618876950058012,28.8204631924263,0.879232098140904,0.821436856365517,2011,"SNIR61FL"
1292,767,2954,206,27,0.0684730524344681,28.3006221266997,0.87509370554184,0.807752394476203,2013,"SNIR6DFL"
1292,1593,5914,417,46,0.0631168594040699,28.8571921314663,0.882443230621274,0.821933586005114,2011,"SNIR61FL"
1293,785,2962,210,26,0.0685542262557933,28.2580479404272,0.872167473883237,0.805961511891029,2013,"SNIR6DFL"
1293,1563,5961,417,49,0.0633704860336394,28.9036542819348,0.884889598759471,0.823682662600445,2011,"SNIR61FL"
1294,768,2993,214,27,0.0710173061830469,28.245370631162,0.870722564609389,0.808339071012404,2013,"SNIR6DFL"
1294,1495,6040,421,51,0.0641021530182391,28.9401296341175,0.884209885394689,0.826098493885628,2011,"SNIR61FL"
1295,705,3080,213,28,0.0697500719709482,28.1930644273377,0.872547696570157,0.807913096588079,2013,"SNIR6DFL"
1295,1431,6088,444,51,0.0668969907248251,28.9685213210596,0.885908121036205,0.827791380290416,2011,"SNIR61FL"
1296,704,3085,224,30,0.0718922972810199,28.2129377346402,0.87335882565159,0.808036722541646,2013,"SNIR6DFL"
1296,1421,6113,452,53,0.0682253044544605,29.0013812952796,0.890534533469235,0.830790276539738,2011,"SNIR61FL"
1297,736,3061,229,26,0.0749635507377446,28.2158167685746,0.87402653347964,0.808237924736328,2013,"SNIR6DFL"
1297,1438,6120,462,53,0.070103511974238,29.0070202034214,0.891330895990184,0.834784343471922,2011,"SNIR61FL"
1298,773,3028,235,27,0.0774456061649073,28.1979718519172,0.873263680792206,0.80878283964029,2013,"SNIR6DFL"
1298,1411,6174,472,53,0.0722356288180571,29.009096699515,0.891714561576638,0.835814457015519,2011,"SNIR61FL"
1299,792,3013,245,27,0.0796386190223868,28.2258539032871,0.875682166714796,0.811477956926964,2013,"SNIR6DFL"
